номер багажа;вес багажа
821A5001;10
929A1649;10
848A3141;4
458A3043;3
418A2787;4
131A5608;16
511A3012;14
132A1065;16
447A3559;4
617A9470;8
361A9395;1
530A3096;18
420A4080;6
527A1097;13
517A3431;2
314A6421;13
933A2129;12
849A5691;6
240A3618;4
835A2160;14
235A1960;5
582A1159;16
696A8886;15
619A1442;14
573A8902;1
607A3807;18
431A6803;10
866A7986;1
491A9717;18
805A6588;8
334A9049;14
744A3045;12
724A1452;1
788A7844;16
501A9280;5
725A1431;2
531A6602;18
905A8677;13
749A4680;3
724A7387;5
645A1703;9
149A3140;2
257A2128;3
723A8761;3
678A7368;10
570A5441;13
141A6403;17
384A3973;9
442A7940;14
136A2410;10
